country_code,gdp_data_level,gdp_domain,year,gdp
TLS,national,national,2026,1355.02086762345
TLS,national,national,2027,1383.14593956083
TLS,national,national,2028,1406.22024541778
TLS,national,national,2029,1427.84693546924
TLS,national,national,2030,1449.68768627486
TON,national,national,1980,2336.59170121825
TON,national,national,1981,2649.39746054645
TON,national,national,1982,2736.39640628067
TON,national,national,1983,2787.13274351789
TON,national,national,1984,2903.54295594023
TON,national,national,1985,3027.15239295785
TON,national,national,1986,3098.28058486421
TON,national,national,1987,3099.32717641102
TON,national,national,1988,3059.83476104191
TON,national,national,1989,3023.36544206846
TON,national,national,1990,3080.36141436924
TON,national,national,1991,3175.06417417608
TON,national,national,1992,3235.08870869103
TON,national,national,1993,3373.59478424731
TON,national,national,1994,3560.53655873838
TON,national,national,1995,3667.80721240349
TON,national,national,1996,3650.35408917003
TON,national,national,1997,3660.6645200777
TON,national,national,1998,3719.52004633825
TON,national,national,1999,3808.25455627569
TON,national,national,2000,3883.93310951726
TON,national,national,2001,3976.08510001913
TON,national,national,2002,4040.59325379746
TON,national,national,2003,3979.12853935724
TON,national,national,2004,3904.06528450303
TON,national,national,2005,3827.65926222464
TON,national,national,2006,3720.5716927666
TON,national,national,2007,3749.74840637569
TON,national,national,2008,3732.1811117913
TON,national,national,2009,3642.36921180141
TON,national,national,2010,3773.37282116196
TON,national,national,2011,3912.68076323948
TON,national,national,2012,3947.38159130294
TON,national,national,2013,4010.49255191425
TON,national,national,2014,4091.35942715116
TON,national,national,2015,4271.85898431136
TON,national,national,2016,4494.21970768836
TON,national,national,2017,4579.73337271704
TON,national,national,2018,4583.84643894604
TON,national,national,2019,4616.89124049944
TON,national,national,2020,4670.11544440098
TON,national,national,2021,4638.96675535652
TON,national,national,2022,4652.74572475068
TON,national,national,2023,4755.65034351508
TON,national,national,2024,4852.05371698643
TON,national,national,2025,4971.43696544391
TON,national,national,2026,5078.2199961987
TON,national,national,2027,5183.80420842904
TON,national,national,2028,5277.28568846242
TON,national,national,2029,5354.48754936822
TON,national,national,2030,5432.84095437436
TTO,national,national,1960,4291.33151924754
TTO,national,national,1961,4790.51579523462
TTO,national,national,1962,4826.55324892306
TTO,national,national,1963,5002.6577659465
TTO,national,national,1964,5289.08455611401
TTO,national,national,1965,5237.08723837566
TTO,national,national,1966,5365.67684824911
TTO,national,national,1967,5398.09614270664
TTO,national,national,1968,5605.83272123412
TTO,national,national,1969,5690.20549050177
TTO,national,national,1970,5827.31147025161
TTO,national,national,1971,5822.66529120637
TTO,national,national,1972,6084.3722447604
TTO,national,national,1973,6107.34799949789
TTO,national,national,1974,6261.2491709821
TTO,national,national,1975,6277.14249686274
TTO,national,national,1976,6598.76235282274
TTO,national,national,1977,7112.35604683433
TTO,national,national,1978,7725.81816276785
TTO,national,national,1979,7900.86193877609
TTO,national,national,1980,8612.15578354562
TTO,national,national,1981,8900.12918941624
TTO,national,national,1982,9135.30195561534
TTO,national,national,1983,8105.31993450338
TTO,national,national,1984,7558.10856116382
TTO,national,national,1985,7158.9818195523
TTO,national,national,1986,6833.5365881953
TTO,national,national,1987,6445.51757775836
TTO,national,national,1988,6128.90683648475
TTO,national,national,1989,6021.59411328172
TTO,national,national,1990,6060.68867588952
TTO,national,national,1991,6199.99274007375
TTO,national,national,1992,6774.74903683363
TTO,national,national,1993,6683.21232126499
TTO,national,national,1994,6879.30612193249
TTO,national,national,1995,7103.75296238966
TTO,national,national,1996,7576.87784770112
TTO,national,national,1997,8116.255226338
TTO,national,national,1998,8746.26879621874
TTO,national,national,1999,9415.92386592851
TTO,national,national,2000,10027.1128846253
TTO,national,national,2001,10399.4482776793
TTO,national,national,2002,11170.5188749668
TTO,national,national,2003,12719.6915336038
TTO,national,national,2004,13662.8295086723
TTO,national,national,2005,15081.5729909563
TTO,national,national,2006,17028.1736253313
TTO,national,national,2007,17765.9500776632
TTO,national,national,2008,18292.7390900279
TTO,national,national,2009,17469.0934975054
TTO,national,national,2010,17945.4187450448
TTO,national,national,2011,17753.7548307468
TTO,national,national,2012,18973.3363141699
TTO,national,national,2013,19564.8491613038
TTO,national,national,2014,20246.5238461771
TTO,national,national,2015,20024.754663902
TTO,national,national,2016,18459.6367502723
TTO,national,national,2017,17537.9540218964
TTO,national,national,2018,17399.4608022944
TTO,national,national,2019,17400.9710162015
TTO,national,national,2020,15789.6138011089
TTO,national,national,2021,15616.2902959174
TTO,national,national,2022,15868.1008675736
TTO,national,national,2023,16061.9004827224
TTO,national,national,2024,16242.4682479223
TTO,national,national,2025,16666.5442807446
TTO,national,national,2026,16862.3316930366
TTO,national,national,2027,17395.9127275868
TTO,national,national,2028,17837.1957155431
TTO,national,national,2029,18283.1978847487
TTO,national,national,2030,18533.6232301233
TUN,national,national,1960,1330.07554891506
TUN,national,national,1961,1422.01911791993
TUN,national,national,1962,1340.3332507983
TUN,national,national,1963,1180.78841140727
TUN,national,national,1964,1109.84740732615
TUN,national,national,1965,1064.734577967
TUN,national,national,1966,1079.99692830946
TUN,national,national,1967,1057.05200824443
TUN,national,national,1968,1138.64491078789
TUN,national,national,1969,1162.96415201392
TUN,national,national,1970,1187.21474553589
TUN,national,national,1971,1280.09146794825
TUN,national,national,1972,1469.53829675624
TUN,national,national,1973,1422.82584451781
TUN,national,national,1974,1497.83527716021
TUN,national,national,1975,1562.53068820471
TUN,national,national,1976,1641.27430527916
TUN,national,national,1977,1653.43901793638
TUN,national,national,1978,1717.12278120807
TUN,national,national,1979,1788.22383921429
TUN,national,national,1980,1877.33704672611
TUN,national,national,1981,1936.27745370962
TUN,national,national,1982,1884.78471774582
TUN,national,national,1983,1932.42642326986
TUN,national,national,1984,1996.46587010646
TUN,national,national,1985,2055.19411663607
TUN,national,national,1986,1974.71524315474
TUN,national,national,1987,2055.74166466697
TUN,national,national,1988,2009.64036881522
TUN,national,national,1989,2000.28930212012
TUN,national,national,1990,2114.47309080904
TUN,national,national,1991,2151.21130992292
TUN,national,national,1992,2270.86744293948
TUN,national,national,1993,2274.64477979221
TUN,national,national,1994,2305.16426828743
TUN,national,national,1995,2322.59508752734
TUN,national,national,1996,2452.91248308547
TUN,national,national,1997,2551.55386456589
TUN,national,national,1998,2639.87840884849
TUN,national,national,1999,2766.57366349293
TUN,national,national,2000,2864.55075602101
TUN,national,national,2001,2941.74275551058
TUN,national,national,2002,2950.20794016332
TUN,national,national,2003,3058.23292911168
TUN,national,national,2004,3218.72738670507
TUN,national,national,2005,3301.94245942789
TUN,national,national,2006,3444.55582504699
TUN,national,national,2007,3642.12450341045
TUN,national,national,2008,3760.12316696001
TUN,national,national,2009,3835.25509911786
TUN,national,national,2010,3906.91133143991
TUN,national,national,2011,3784.74620448381
TUN,national,national,2012,3900.05126518371
TUN,national,national,2013,3947.59276091668
TUN,national,national,2014,4021.60476871861
TUN,national,national,2015,4014.94773686432
TUN,national,national,2016,4015.29664102169
TUN,national,national,2017,4062.22677519573
TUN,national,national,2018,4128.10393763368
TUN,national,national,2019,4154.95861594283
TUN,national,national,2020,3749.26722435797
TUN,national,national,2021,3902.54258302726
TUN,national,national,2022,3983.49130488497
TUN,national,national,2023,3958.56222854122
TUN,national,national,2024,3990.19181710563
TUN,national,national,2025,4043.35732041576
TUN,national,national,2026,4087.32727458272
TUN,national,national,2027,4135.20436245594
TUN,national,national,2028,4160.5830800932
TUN,national,national,2029,4187.10203252905
TUN,national,national,2030,4214.68732311889
TUR,national,national,1960,2433.64795766479
TUR,national,national,1961,2395.05066814989
TUR,national,national,1962,2461.13508397299
TUR,national,national,1963,2613.44761423936
TUR,national,national,1964,2684.79795187659
TUR,national,national,1965,2692.14218409619
TUR,national,national,1966,2918.88528464921
TUR,national,national,1967,2978.66706448119
TUR,national,national,1968,3101.20900932124
TUR,national,national,1969,3149.65940426992
TUR,national,national,1970,3176.00880883904
TUR,national,national,1971,3274.15428162962
TUR,national,national,1972,3433.85188995088
TUR,national,national,1973,3464.79537209951
TUR,national,national,1974,3578.49959691341
TUR,national,national,1975,3756.48135434753
TUR,national,national,1976,4065.58728135886
TUR,national,national,1977,4118.25240481207
TUR,national,national,1978,4096.63005790493
TUR,national,national,1979,3991.93559037465
TUR,national,national,1980,3817.19377054419
TUR,national,national,1981,3923.74378235456
TUR,national,national,1982,3977.6077588603
TUR,national,national,1983,4078.35503979309
TUR,national,national,1984,4253.1857646653
TUR,national,national,1985,4336.22005151852
TUR,national,national,1986,4542.53345551319
TUR,national,national,1987,4873.09953000526
TUR,national,national,1988,4887.59929309889
TUR,national,national,1989,4806.64171466079
TUR,national,national,1990,5154.62432505626
TUR,national,national,1991,5101.20725011469
TUR,national,national,1992,5267.51548598504
TUR,national,national,1993,5573.56502081975
TUR,national,national,1994,5221.80789335628
TUR,national,national,1995,5541.74699484825
TUR,national,national,1996,5861.70189076597
TUR,national,national,1997,6215.40337957423
TUR,national,national,1998,6276.80835064274
TUR,national,national,1999,5991.37218649156
TUR,national,national,2000,6325.0960882995
TUR,national,national,2001,5887.68576603671
TUR,national,national,2002,6192.18555011794
TUR,national,national,2003,6473.46273839035
TUR,national,national,2004,7028.75556387992
TUR,national,national,2005,7579.37203227654
TUR,national,national,2006,8023.15099265417
TUR,national,national,2007,8414.25350387565
TUR,national,national,2008,8376.14924620652
TUR,national,national,2009,7862.87076474477
TUR,national,national,2010,8396.92342026278
TUR,national,national,2011,9201.33726059829
TUR,national,national,2012,9519.81508910914
TUR,national,national,2013,10195.8475785153
TUR,national,national,2014,10556.1170411504
TUR,national,national,2015,11049.9951100942
TUR,national,national,2016,11264.6145749335
TUR,national,national,2017,11953.6664174026
TUR,national,national,2018,12148.2931275476
TUR,national,national,2019,12073.8690708145
TUR,national,national,2020,12179.6626536773
TUR,national,national,2021,13449.9291299333
TUR,national,national,2022,14055.1031460453
TUR,national,national,2023,14713.5670729157
TUR,national,national,2024,15078.5813597065
TUR,national,national,2025,15512.0976607313
TUR,national,national,2026,16027.9079642307
TUR,national,national,2027,16648.8419891751
TUR,national,national,2028,17185.9740218366
TUR,national,national,2029,17771.2377956811
TUR,national,national,2030,18422.4140678199
TUV,national,national,1970,2435.17474701489
TUV,national,national,1971,2387.33440865195
TUV,national,national,1972,2337.90270361547
TUV,national,national,1973,2297.20893293803
TUV,national,national,1974,2203.95816697513
TUV,national,national,1975,2066.06812776167
TUV,national,national,1976,1956.79791178129
TUV,national,national,1977,1804.13909241825
TUV,national,national,1978,1702.08841977479
TUV,national,national,1979,1641.76535990535
TUV,national,national,1980,1590.96075030684
TUV,national,national,1981,1597.62775483214
TUV,national,national,1982,1317.70001104881
TUV,national,national,1983,1412.9006993372
TUV,national,national,1984,1496.60501526062
TUV,national,national,1985,1442.84746867701
TUV,national,national,1986,1731.913772882
TUV,national,national,1987,1908.42569769573
TUV,national,national,1988,2237.59193215442
TUV,national,national,1989,2157.53418798733
TUV,national,national,1990,2450.79726036268
TUV,national,national,1991,2502.27716517093
TUV,national,national,1992,2540.7562718213
TUV,national,national,1993,2619.69518382039
TUV,national,national,1994,2863.67111176146
TUV,national,national,1995,2698.96068050891
TUV,national,national,1996,2521.22126914168
TUV,national,national,1997,2756.31403388992
TUV,national,national,1998,3166.39547155271
TUV,national,national,1999,3102.1067626385
